,Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,latitude,longitude
93,E07000130,Charnwood,Non-metropolitan District,279.0426,184748,662,165876,594,52.7704,-1.2023
94,E07000131,Harborough,Non-metropolitan District,591.7966,100481,170,85699,145,52.6726,-0.8872
95,E07000132,Hinckley and Bosworth,Non-metropolitan District,297.3514,114298,384,105328,354,52.5593,-1.4833
96,E07000133,Melton,Non-metropolitan District,481.38059999999996,52433,109,50495,105,52.7526,-0.8817
97,E07000134,North West Leicestershire,Non-metropolitan District,279.3279,107672,385,93670,335,52.6778,-1.5615
98,E07000135,Oadby and Wigston,Non-metropolitan District,23.5261,58341,2480,55979,2379,52.586,-1.11
99,E10000019,Lincolnshire,County,5937.3375,775524,131,714768,120,,
100,E07000136,Boston,Non-metropolitan District,364.00849999999997,70806,195,64615,178,53.0664,-0.1994
101,E07000137,East Lindsey,Non-metropolitan District,1766.7735999999998,144415,82,136683,77,53.5048,-0.063
102,E07000138,Lincoln,Non-metropolitan District,35.6901,102545,2873,93085,2608,53.2456,-0.5588
103,E07000139,North Kesteven,Non-metropolitan District,922.4714,119709,130,108518,118,53.1553,-0.2947
104,E07000140,South Holland,Non-metropolitan District,750.0762,96983,129,88390,118,52.7875,-0.2632
105,E07000141,South Kesteven,Non-metropolitan District,942.5857000000001,144249,153,134125,142,52.9273,-0.7598
106,E07000142,West Lindsey,Non-metropolitan District,1155.732,96817,84,89352,77,53.5109,-0.7409
107,E10000024,Nottinghamshire,County,2084.7117000000003,834822,400,786796,377,,
108,E07000170,Ashfield,Non-metropolitan District,109.5581,127179,1161,119522,1091,53.0704,-1.3348
109,E07000171,Bassetlaw,Non-metropolitan District,637.8035,120012,188,113003,177,53.4451,-0.8494
110,E07000172,Broxtowe,Non-metropolitan District,80.0988,112113,1400,109749,1370,52.9793,-1.2905
111,E07000173,Gedling,Non-metropolitan District,119.9818,117730,981,113741,948,52.9827,-1.0444
112,E07000174,Mansfield,Non-metropolitan District,76.6974,111117,1449,104551,1363,53.1365,-1.2293
113,E07000175,Newark and Sherwood,Non-metropolitan District,651.3403,125089,192,114982,177,53.2579,-0.7132
114,E07000176,Rushcliffe,Non-metropolitan District,409.2318,121582,297,111248,272,52.8416,-1.2667
115,E12000005,WEST MIDLANDS,Region,12998.2645,6021653,463,5608667,431,,
116,E06000019,"Herefordshire, County of",Unitary Authority,2179.7085,188719,87,183619,84,51.8986,-2.4652
117,E06000051,Shropshire,Unitary Authority,3197.2756,327178,102,307108,96,52.9924,-2.3818
118,E06000021,Stoke-on-Trent,Unitary Authority,93.44850000000001,259965,2782,248719,2662,52.9811,-2.1159
119,E06000020,Telford and Wrekin,Unitary Authority,290.3137,188871,651,166831,575,52.7265,-2.6135
120,E10000028,Staffordshire,County,2620.2884,886284,338,849546,324,,
121,E07000192,Cannock Chase,Non-metropolitan District,78.8825,101140,1282,97582,1237,52.6871,-2.0284
122,E07000193,East Staffordshire,Non-metropolitan District,386.9593,125760,325,113858,294,52.8209,-1.6658
123,E07000194,Lichfield,Non-metropolitan District,331.2944,108352,327,100911,305,52.5903,-1.8685
124,E07000195,Newcastle-under-Lyme,Non-metropolitan District,210.9571,125297,594,123878,587,53.0527,-2.3767
125,E07000196,South Staffordshire,Non-metropolitan District,407.32239999999996,111527,274,108318,266,52.426,-2.1913
126,E07000197,Stafford,Non-metropolitan District,598.1722,138670,232,130895,219,52.9123,-2.0336
127,E07000198,Staffordshire Moorlands,Non-metropolitan District,575.8498000000001,95899,167,97209,169,53.1372,-2.1697
128,E07000199,Tamworth,Non-metropolitan District,30.850700000000003,79639,2581,76895,2492,52.629,-1.687
129,E10000031,Warwickshire,County,1975.0763,607604,308,546554,277,,
130,E07000218,North Warwickshire,Non-metropolitan District,284.2614,65946,232,62089,218,52.4996,-1.709
131,E07000219,Nuneaton and Bedworth,Non-metropolitan District,78.9503,135481,1716,125409,1588,52.5268,-1.4608
132,E07000220,Rugby,Non-metropolitan District,351.11330000000004,116436,332,100496,286,52.49,-1.3873
133,E07000221,Stratford-on-Avon,Non-metropolitan District,977.8692,138583,142,120824,124,52.3592,-1.887
134,E07000222,Warwick,Non-metropolitan District,282.8821,151158,534,137736,487,52.3551,-1.7111
135,E11000005,West Midlands (Met County),Metropolitan County,901.6396000000001,2953816,3276,2739733,3039,,
136,E08000025,Birmingham,Metropolitan District,267.7912,1157603,4323,1074283,4012,52.4706,-1.875
137,E08000026,Coventry,Metropolitan District,98.6392,355600,3605,316915,3213,52.4103,-1.5094
138,E08000027,Dudley,Metropolitan District,97.95819999999999,324969,3317,313261,3198,52.4487,-2.028
139,E08000028,Sandwell,Metropolitan District,85.55879999999999,344210,4023,309042,3612,52.4875,-1.949
140,E08000029,Solihull,Metropolitan District,178.282,217678,1221,206856,1160,52.4068,-1.8688
141,E08000030,Walsall,Metropolitan District,103.9736,286105,2752,269524,2592,52.561,-1.9434
142,E08000031,Wolverhampton,Metropolitan District,69.4366,267651,3855,249852,3598,52.5466,-2.1114
143,E10000034,Worcestershire,County,1740.5139000000001,609216,350,566557,326,,
144,E07000234,Bromsgrove,Non-metropolitan District,216.96830000000003,100076,461,93732,432,52.4043,-1.8888
145,E07000235,Malvern Hills,Non-metropolitan District,577.071,81024,140,74706,129,52.3266,-2.3241
146,E07000236,Redditch,Non-metropolitan District,54.2509,87132,1606,84318,1554,52.288,-1.8868
147,E07000237,Worcester,Non-metropolitan District,33.2781,104120,3129,98679,2965,52.1967,-2.217
148,E07000238,Wychavon,Non-metropolitan District,663.5418,134536,203,117074,176,52.2285,-1.9247
149,E07000239,Wyre Forest,Non-metropolitan District,195.40380000000002,102328,524,98048,502,52.3871,-2.2505
150,E12000006,EAST,Region,19115.5915,6398497,335,5862418,307,,
151,E06000055,Bedford,Unitary Authority,476.4082,187466,393,157840,331,52.1344,-0.4756
152,E06000056,Central Bedfordshire,Unitary Authority,715.6655000000001,301501,421,255644,357,51.8479,-0.4474
153,E06000032,Luton,Unitary Authority,43.3526,226973,5236,203641,4697,51.88,-0.4229
154,E06000031,Peterborough,Unitary Authority,343.3782,217705,634,184457,537,52.5726,-0.2456
155,E06000033,Southend-on-Sea,Unitary Authority,41.6742,180915,4341,174274,4182,51.552,0.6778
156,E06000034,Thurrock,Unitary Authority,163.8371,176877,1080,158268,966,51.5661,0.3302
157,E10000003,Cambridgeshire,County,3046.2357,689109,226,622312,204,,
158,E07000008,Cambridge,Non-metropolitan District,40.6989,146995,3612,122725,3015,52.1923,0.1372
159,E07000009,East Cambridgeshire,Non-metropolitan District,651.286,89394,137,84245,129,52.2781,0.3294
160,E07000010,Fenland,Non-metropolitan District,546.4502,103035,189,95461,175,52.4293,0.092
161,E07000011,Huntingdonshire,Non-metropolitan District,906.176,184052,203,170039,188,52.2822,-0.4021
162,E07000012,South Cambridgeshire,Non-metropolitan District,901.6246000000001,165633,184,149842,166,52.0775,0.1881
163,E10000012,Essex,County,3458.4257000000002,1519509,439,1396599,404,,
164,E07000066,Basildon,Non-metropolitan District,110.001,188848,1717,174971,1591,51.6343,0.4269
165,E07000067,Braintree,Non-metropolitan District,611.7079,157681,258,147514,241,52.0606,0.4273
166,E07000068,Brentwood,Non-metropolitan District,153.1241,77332,505,73841,482,51.5991,0.3806
167,E07000069,Castle Point,Non-metropolitan District,44.673500000000004,89731,2009,87964,1969,51.5771,0.593
168,E07000070,Chelmsford,Non-metropolitan District,338.75800000000004,183326,541,168491,497,51.6438,0.4473
169,E07000071,Colchester,Non-metropolitan District,328.2239,194394,592,173614,529,51.7971,0.8222
170,E07000072,Epping Forest,Non-metropolitan District,338.98400000000004,134989,398,124880,368,51.687,0.2931
171,E07000073,Harlow,Non-metropolitan District,30.5379,94409,3092,82177,2691,51.7832,0.1323
172,E07000074,Maldon,Non-metropolitan District,357.8158,67554,189,61720,172,51.6625,0.8295
173,E07000075,Rochford,Non-metropolitan District,167.0927,87216,522,83333,499,51.6215,0.5641
174,E07000076,Tendring,Non-metropolitan District,336.3244,151451,450,138062,411,51.9457,1.0607
175,E07000077,Uttlesford,Non-metropolitan District,641.1825,92578,144,80032,125,52.0215,0.2392
176,E10000015,Hertfordshire,County,1643.0647,1204588,733,1119824,682,,
177,E07000095,Broxbourne,Non-metropolitan District,51.4422,99103,1926,93702,1822,51.7287,-0.0253
178,E07000096,Dacorum,Non-metropolitan District,212.47619999999998,156123,735,145298,684,51.7881,-0.4386
179,E07000242,East Hertfordshire,Non-metropolitan District,475.66949999999997,151635,319,138155,290,51.8155,-0.179
180,E07000098,Hertsmere,Non-metropolitan District,101.12809999999999,108106,1069,100379,993,51.7219,-0.2816
181,E07000099,North Hertfordshire,Non-metropolitan District,375.3821,134159,357,127494,340,51.8359,-0.3038
182,E07000240,St Albans,Non-metropolitan District,161.2059,148358,920,141248,876,51.7453,-0.3286
183,E07000243,Stevenage,Non-metropolitan District,25.9692,89737,3456,84247,3244,51.8961,-0.203
184,E07000102,Three Rivers,Non-metropolitan District,88.8242,94123,1060,87921,990,51.623,-0.3683
185,E07000103,Watford,Non-metropolitan District,21.4304,103031,4808,90653,4230,51.6569,-0.3987
186,E07000241,Welwyn Hatfield,Non-metropolitan District,129.5369,120213,928,110727,855,51.7643,-0.2263
187,E10000020,Norfolk,County,5383.5799,925299,172,859426,160,,
188,E07000143,Breckland,Non-metropolitan District,1305.1166,143479,110,131009,100,52.4093,0.9942
189,E07000144,Broadland,Non-metropolitan District,552.0608,133872,242,124740,226,52.7206,1.2992
190,E07000145,Great Yarmouth,Non-metropolitan District,174.31419999999997,99862,573,97424,559,52.6493,1.5686
191,E07000146,King's Lynn and West Norfolk,Non-metropolitan District,1439.5227,155741,108,147936,103,52.5075,0.3349
192,E07000147,North Norfolk,Non-metropolitan District,965.9669,103227,107,101664,105,52.7784,1.3576
193,E07000148,Norwich,Non-metropolitan District,39.0222,144525,3704,132158,3387,52.6266,1.3093
194,E07000149,South Norfolk,Non-metropolitan District,907.5764999999999,144593,159,124495,137,52.4327,1.3601
195,E10000029,Suffolk,County,3799.9696999999996,768555,202,730133,192,,
196,E07000200,Babergh,Non-metropolitan District,593.7241,94277,159,87901,148,52.0612,0.7481
197,E07000244,East Suffolk,Non-metropolitan District,1260.9896,247080,196,239946,190,52.0348,1.2345
198,E07000202,Ipswich,Non-metropolitan District,39.509699999999995,139247,3524,133729,3385,52.0235,1.2113
199,E07000203,Mid Suffolk,Non-metropolitan District,871.0708,105723,121,97076,111,52.2011,1.2418
200,E07000245,West Suffolk,Non-metropolitan District,1034.6755,182228,176,171481,166,52.3567,0.4197
201,E12000007,LONDON,Region,1572.0316,8866180,5640,8204407,5219,,
202,E09000007,Camden,London Borough,21.789499999999997,218049,10007,220087,10101,51.5182,-0.1095
203,E09000001,City of London,London Borough,2.8904,10847,3753,7412,2564,51.5116,-0.0735
204,E09000012,Hackney,London Borough,19.0471,261491,13729,247182,12977,51.5244,-0.0777
205,E09000013,Hammersmith and Fulham,London Borough,16.403599999999997,185238,11293,182445,11122,51.5272,-0.2358
206,E09000014,Haringey,London Borough,29.598499999999998,261811,8845,255540,8634,51.5925,-0.1436
207,E09000019,Islington,London Borough,14.8567,220373,14833,206285,13885,51.5246,-0.112
208,E09000020,Kensington and Chelsea,London Borough,12.1257,146154,12053,158251,13051,51.4847,-0.1836
209,E09000022,Lambeth,London Borough,26.808000000000003,316812,11818,304481,11358,51.5028,-0.1186
210,E09000023,Lewisham,London Borough,35.1483,298653,8497,276938,7879,51.4495,0.012
211,E09000025,Newham,London Borough,36.198,358645,9908,310460,8577,51.5519,0.0462
212,E09000028,Southwark,London Borough,28.8765,311913,10802,288717,9998,51.4984,-0.1028
213,E09000030,Tower Hamlets,London Borough,19.771,325789,16478,256012,12949,51.5136,-0.0498
214,E09000032,Wandsworth,London Borough,34.257,329035,9605,307710,8982,51.4645,-0.1643
215,E09000033,Westminster,London Borough,21.4771,211365,9841,219582,10224,51.5203,-0.1651
216,E09000002,Barking and Dagenham,London Borough,36.1015,219992,6094,187029,5181,51.5293,0.0944
217,E09000003,Barnet,London Borough,86.7481,389101,4485,357538,4122,51.643,-0.171
218,E09000004,Bexley,London Borough,60.5784,247835,4091,232774,3843,51.4242,0.1022
219,E09000005,Brent,London Borough,43.233000000000004,341221,7893,312245,7222,51.5398,-0.3017
220,E09000006,Bromley,London Borough,150.1303,329578,2195,310554,2069,51.4012,0.0168
221,E09000008,Croydon,London Borough,86.49680000000001,392224,4535,364815,4218,51.3751,-0.0959
222,E09000009,Ealing,London Borough,55.5445,369937,6660,339314,6109,51.5275,-0.2608
223,E09000010,Enfield,London Borough,80.8308,327224,4048,313935,3884,51.6503,-0.0546
224,E09000011,Greenwich,London Borough,47.306999999999995,291080,6153,255483,5401,51.4891,0.0081
225,E09000015,Harrow,London Borough,50.4635,261185,5176,240499,4766,51.5852,-0.3297
226,E09000016,Havering,London Borough,112.3414,264703,2356,237927,2118,51.5619,0.2164
227,E09000017,Hillingdon,London Borough,115.70049999999999,310681,2685,275499,2381,51.5552,-0.3872
228,E09000018,Hounslow,London Borough,55.970299999999995,290488,5190,254927,4555,51.456,-0.3366
229,E09000021,Kingston upon Thames,London Borough,37.2652,168302,4516,160436,4305,51.4112,-0.3011
230,E09000024,Merton,London Borough,37.6248,214709,5707,200543,5330,51.4046,-0.1644
231,E09000026,Redbridge,London Borough,56.4035,310911,5512,281395,4989,51.5756,0.0275
232,E09000027,Richmond upon Thames,London Borough,57.393699999999995,194894,3396,187527,3267,51.4146,-0.3101
233,E09000029,Sutton,London Borough,43.84270000000001,210053,4791,191123,4359,51.3823,-0.1329
234,E09000031,Waltham Forest,London Borough,38.8082,275887,7109,259742,6693,51.576,-0.007
235,E12000008,SOUTH EAST,Region,19071.8507,9379833,492,8652784,454,,
236,E06000036,Bracknell Forest,Unitary Authority,109.3843,126881,1160,113696,1039,51.3407,-0.7705
237,E06000043,Brighton and Hove,Unitary Authority,82.833,277965,3356,272952,3295,50.8263,-0.1408
238,E06000046,Isle of Wight,Unitary Authority,379.6199,140794,371,138392,365,50.6939,-1.2965
239,E06000035,Medway,Unitary Authority,193.71419999999998,282702,1459,264885,1367,51.3861,0.5074
240,E06000042,Milton Keynes,Unitary Authority,308.6265,292180,947,249895,810,52.0317,-0.687
241,E06000044,Portsmouth,Unitary Authority,40.3816,208420,5161,205433,5087,50.7991,-1.0884
242,E06000038,Reading,Unitary Authority,40.3979,174820,4327,155339,3845,51.4575,-0.9693
243,E06000039,Slough,Unitary Authority,32.5421,159182,4892,140713,4324,51.5083,-0.5846
244,E06000045,Southampton,Unitary Authority,49.8807,252689,5066,235870,4729,50.9071,-1.3998
245,E06000037,West Berkshire,Unitary Authority,704.1828999999999,162215,230,154148,219,51.5251,-1.4154
246,E06000040,Windsor and Maidenhead,Unitary Authority,196.50169999999997,154738,787,145098,738,51.4705,-0.8228
247,E06000041,Wokingham,Unitary Authority,178.96900000000002,180967,1011,154943,866,51.4755,-0.8605
248,E06000060,Buckinghamshire,Unitary Authority,1564.9377,560409,358,506550,324,51.6222,-0.7704
249,E10000011,East Sussex,County,1708.6319,550720,322,527209,309,,
250,E07000061,Eastbourne,Non-metropolitan District,44.1614,102247,2315,99308,2249,50.7395,0.2258
251,E07000062,Hastings,Non-metropolitan District,29.7964,90622,3041,90173,3026,50.8558,0.5781
252,E07000063,Lewes,Non-metropolitan District,292.107,100677,345,97584,334,50.795,-0.0181
253,E07000064,Rother,Non-metropolitan District,509.4414,94162,185,90729,178,50.8295,0.3925
254,E07000065,Wealden,Non-metropolitan District,833.1257,163012,196,149415,179,50.752,0.2067
255,E10000014,Hampshire,County,3678.3567,1416808,385,1322118,359,,
256,E07000084,Basingstoke and Deane,Non-metropolitan District,633.8086,187817,296,168550,266,51.1913,-0.989
257,E07000085,East Hampshire,Non-metropolitan District,514.4274,127319,247,116010,226,51.1351,-0.7815
258,E07000086,Eastleigh,Non-metropolitan District,79.69149999999999,138935,1743,125852,1579,50.9515,-1.3609
259,E07000087,Fareham,Non-metropolitan District,74.2526,114547,1543,111931,1507,50.8115,-1.2179
260,E07000088,Gosport,Non-metropolitan District,25.3739,82285,3243,82669,3258,50.7953,-1.1183
261,E07000089,Hart,Non-metropolitan District,215.2651,100910,469,91662,426,51.2349,-0.8211
262,E07000090,Havant,Non-metropolitan District,55.7408,124854,2240,120783,2167,50.8473,-0.9361
263,E07000091,New Forest,Non-metropolitan District,752.1755,175942,234,176789,235,50.7523,-1.6862
264,E07000092,Rushmoor,Non-metropolitan District,39.045100000000005,101060,2588,94354,2417,51.2486,-0.7611
265,E07000093,Test Valley,Non-metropolitan District,627.6055,132871,212,116698,186,51.1977,-1.3421
266,E07000094,Winchester,Non-metropolitan District,660.9707000000001,130268,197,116820,177,51.0138,-1.0861
267,E10000016,Kent,County,3544.3951,1593191,449,1466466,414,,
268,E07000105,Ashford,Non-metropolitan District,580.6174,135610,234,118405,204,51.2441,0.9882
269,E07000106,Canterbury,Non-metropolitan District,308.7527,157550,510,150600,488,51.2844,1.0944
270,E07000107,Dartford,Non-metropolitan District,72.72579999999999,118820,1634,97604,1342,51.4137,0.2078
271,E07000108,Dover,Non-metropolitan District,315.3378,117473,373,111718,354,51.2736,1.3339
272,E07000112,Folkestone and Hythe,Non-metropolitan District,356.9211,110237,309,108199,303,51.1487,1.1956
273,E07000109,Gravesham,Non-metropolitan District,98.9913,106970,1081,101766,1028,51.4426,0.3677
274,E07000110,Maidstone,Non-metropolitan District,393.3293,180428,459,155764,396,51.2428,0.78
275,E07000111,Sevenoaks,Non-metropolitan District,369.23080000000004,121106,328,115351,312,51.3261,0.1041
276,E07000113,Swale,Non-metropolitan District,373.43660000000006,154619,414,136324,365,51.312,1.0115
277,E07000114,Thanet,Non-metropolitan District,103.6091,140689,1358,134402,1297,51.3602,1.4368
278,E07000115,Tonbridge and Malling,Non-metropolitan District,240.11450000000002,133661,557,121087,504,51.3428,0.3966
279,E07000116,Tunbridge Wells,Non-metropolitan District,331.3287,116028,350,115246,348,51.1642,0.3069
280,E10000025,Oxfordshire,County,2604.9263,738276,283,654791,251,,
281,E07000177,Cherwell,Non-metropolitan District,588.7454,164155,279,142252,242,51.8393,-1.0524
282,E07000178,Oxford,Non-metropolitan District,45.602700000000006,163257,3580,150245,3295,51.7502,-1.2674
283,E07000179,South Oxfordshire,Non-metropolitan District,678.4922,151820,224,134961,199,51.6669,-0.9253
284,E07000180,Vale of White Horse,Non-metropolitan District,577.6639,142116,246,121891,211,51.6896,-1.6802
285,E07000181,West Oxfordshire,Non-metropolitan District,714.4221000000001,116928,164,105442,148,51.987,-1.6647
